feature,correlation,p_value,significant,abs_correlation,cohens_d,success_mean,failure_mean,n_success,n_failure
avg_message_length,-0.12561276898544838,0.051952185888691015,False,0.12561276898544838,-0.2593451764680393,1565.3005270438778,1883.986138290933,94,146
avg_assistant_message_length,-0.12561276898544838,0.051952185888691015,False,0.12561276898544838,-0.2593451764680393,1565.3005270438778,1883.986138290933,94,146
syntax_error_count,-0.12483564677426613,0.05343230255137152,False,0.12483564677426613,-0.2575700971254456,0.0,0.9041095890410958,94,146
validation_to_total_ratio,-0.12415252319256284,0.05476213132999657,False,0.12415252319256284,-0.2562129683207588,0.1415634011378692,0.16809904327027614,94,146
most_used_tool_ratio,0.12395198295820131,0.05515768823768286,False,0.12395198295820131,0.25586468669451634,0.6144039175954069,0.5587475870280484,94,146
wrong_reasoning_count,-0.11861373805934514,0.06658815137941865,False,0.11861373805934514,-0.2445562926536388,0.010638297872340425,0.1095890410958904,94,146
hallucination_count,-0.11704114719613062,0.07030310470161451,False,0.11704114719613062,-0.24125700007077494,0.0,0.03424657534246575,94,146
tool_latency_mean,-0.11307933687568468,0.0804149832284525,False,0.11307933687568468,-0.2330293176934292,0.0020051207969626313,0.0026004593669488804,94,146
inefficient_tool_call_count,-0.1103447899846558,0.08805613349550123,False,0.1103447899846558,-0.22727842500050616,0.0,0.04794520547945205,94,146
retry_rate,0.10526394848203721,0.10379004943956267,False,0.10526394848203721,0.21675876713573458,0.3234253630530226,0.2638875353997921,94,146
non_sense_count,-0.10446275927442467,0.10646222396080599,False,0.10446275927442467,-0.2150256657032409,0.0,0.0273972602739726,94,146
execution_errors,-0.09771510825507876,0.13116920096573526,False,0.09771510825507876,-0.2009977636872284,0.0,0.1506849315068493,94,146
marker_balance_ratio,0.0972619205103933,0.1329750138239676,False,0.0972619205103933,0.20012129417061716,0.8044576504122976,0.7459357369767879,94,146
question_count,0.08101770265487143,0.21107134938156624,False,0.08101770265487143,0.16658197990964416,0.5531914893617021,0.3150684931506849,94,146
missing_validation_count,0.08061457163881243,0.21335913806611118,False,0.08061457163881243,0.16588439376926353,0.010638297872340425,0.0,94,146
backtrack_after_error_rate,-0.07355530797579984,0.2563321701587183,False,0.07355530797579984,-0.15098653869103823,0.0,0.005136986301369863,94,146
early_final_answer_count,-0.07254627104321339,0.2629311100289989,False,0.07254627104321339,-0.14890425947134825,0.0,0.1643835616438356,94,146
tool_latency_max,-0.06826503900543034,0.2922194364992798,False,0.06826503900543034,-0.14015189242912365,0.005976381929630929,0.006759336652004556,94,146
wrong_planning_count,-0.034052109212810024,0.5996310860077037,False,0.034052109212810024,-0.06981329677017145,0.0425531914893617,0.0684931506849315,94,146
positive_marker_ratio,-0.020236601808132842,0.7551170759973818,False,0.020236601808132842,-0.041463703402503216,0.8044576504122976,0.8128134547834327,94,146
tool_latency_std,-0.00836579529677392,0.8974146495119041,False,0.00836579529677392,-0.01713834967604424,0.0022247266126378448,0.002262706425357155,94,146
avg_words_per_message,0.0006302304600961425,0.9922506557446399,False,0.0006302304600961425,0.0012909244286660754,204.796952367963,204.61547754946727,94,146
level,,,False,,0.0,1.0,1.0,94,146
invalid_args_errors,,,False,,0.0,0.0,0.0,94,146
misunderstood_tool_count,,,False,,0.0,0.0,0.0,94,146
steps_to_first_positive_marker,,,False,,0.0,-1.0,-1.0,94,146
steps_to_first_negative_marker,,,False,,0.0,-1.0,-1.0,94,146
assistant_steps_to_first_positive_marker,,,False,,0.0,-1.0,-1.0,94,146
assistant_steps_to_first_negative_marker,,,False,,0.0,-1.0,-1.0,94,146
marker_trajectory_slope,,,False,,0.0,0.0,0.0,94,146
early_negative_rate,,,False,,0.0,0.0,0.0,94,146
positive_markers_steps_1_5,,,False,,0.0,0.0,0.0,94,146
negative_markers_steps_1_5,,,False,,0.0,0.0,0.0,94,146
positive_markers_steps_6_10,,,False,,0.0,0.0,0.0,94,146
negative_markers_steps_6_10,,,False,,0.0,0.0,0.0,94,146
positive_markers_steps_11_20,,,False,,0.0,0.0,0.0,94,146
negative_markers_steps_11_20,,,False,,0.0,0.0,0.0,94,146
positive_markers_steps_21_plus,,,False,,0.0,0.0,0.0,94,146
negative_markers_steps_21_plus,,,False,,0.0,0.0,0.0,94,146
